SalesNav Name,Account Name,Deterministic Match,Match Score
& Other Stories,Grado Labs,And Other Stories,87.5
Ahold Delhaize USA,Zojirushi,Ahold Delhaize USA,100.0
ALVIC USA,Zippo Manufacturing,ALDI USA,82.35294117647058
Arc'teryx,Zep,Arc'teryx,100.0
Armarkat,Zagg,Armarkat,100.0
Associate Supermarket,YETI,Associated Supermarkets,95.45454545454545
Babylist,Yankee Candle,Babylist,100.0
Beats by Dre,Xtreme Lashes,Beats by Dr. Dre,85.71428571428572
"BellRing Brands, Inc.",Xerox,BellRing Brands,83.33333333333334
Bush's Beans,Worx,Bush's Beans,100.0
Chedraui USA,Worldmark Brand Protection,Chedraui USA,100.0
Cielo Hammocks,Workwear Outfitters,Cielo Hammocks,100.0
Cirkul,Wolverine Worldwide,Cirkul,100.0
CLAIRE'S ACCESSORIES #6433,WMF Group,,0.0
Dioz Group,Winland Foods,Dioz Group,100.0
E.L.F. BEAUTY,Wholesome Harvest Baking,,0.0
EBC India Company Private Limited,Whirlpool,,0.0
Ellos,Western Digital,Ellos,100.0
Exhibitology,West Liberty Foods,Exhibitology,100.0
Factory Connection,Wells Enterprises,Factory Connection,100.0
Fashion Nova,Weber,Fashion Nova,100.0
Furinno,Walter,Furinno,100.0
GQ SPORTS,Wahl,,0.0
GSM Group Of Companies,VOXX International Corporation,,0.0
Haba USA (Habermaass Corporation),VIZIO,,0.0
Heritage Grocers Group,Vista Outdoor,Heritage Grocers Group,100.0
"HOMELEGANCE LA, INC.",Viking Electric Supply,,0.0
"JS GLOBAL, LLC",Viking,,0.0
K2 Sports LLC,Video Gaming Technologies,K2 Sports,81.81818181818181
Karat Home Inc,VF Corporation,,0.0
KITCHEN AID LTD,Vertu Americas,,0.0
Lancer Furniture,Ventura Foods,Lancer Furniture,100.0
Luxen Works LLC,Varsity Spirit,,0.0
Luzon Lighting,Van Meter,Luzon Lighting,100.0
"Mario Badescu Skin Care, Inc.",V-ZUG,,0.0
Maxwood Furniture,Utz Quality Foods,Maxwood Furniture,100.0
Maybelline New York,Universal Electronics,Maybelline New York,100.0
Nom de Guerre,United Dairy Farmers,Nom de Guerre,100.0
Once Upon a Farm,UniFirst,Once Upon a Farm,100.0
Pillsbury Company,Uni-ball,,0.0
PlayStation Studios Malaysia,Undisclosed,,0.0
Proman Products,Ubiquiti,Proman Products,100.0
RAM Quality Products Ltd,Tyson Foods,Ram Quality Products,81.81818181818181
SKIMS,Tupperware Brands,,0.0
SMS Infocomm,TTI Floor Care North America,SMS InfoComm,91.66666666666666
Sol de Janeiro,Triumph Foods,Sol de Janeiro,100.0
Sprite,Trinidad Benham,Sprite,100.0
Stanton Sofas,Trek Bicycle,Stanton Sofas,100.0
Temu,TreeHouse Foods,Temu,100.0
Thomas Golf,TRAC Intermodal,Thomas Golf,100.0
"TOSO COMPANY, LIMITED",Toshiba America,,0.0
Tribesigns,Topgolf Callaway Brands,Tribesigns,100.0
Unifi,Tongda Group,Unifi,100.0
Vestis Corporation,Thule Group,Koss Corporation,82.35294117647058
Vuori,The Toro Company,Vuori,100.0
Zales Jewlery,The Simply Good Foods Company,,0.0
amika,The Kraft Heinz Company,amika,100.0
"Apache Mills, Inc.",The Hershey Company,"Apache Mills, Inc.",100.0
Armani Exchange Galleria,The Estee Lauder Companies Inc.,,0.0
Ashley Global Retail,The Container Store,,0.0
Bebelle lingerie,The Coffee Bean & Tea Leaf,,0.0
Bel Brands USA Foodservice,The Black & Decker,,0.0
Blackstone Products,Tempur Sealy,Blackstone Products,100.0
Blue 84,Tegra,Blue84,92.3076923076923
Boden US,Taylor Farms,Boden US,100.0
BODYARMOR Sports Nutrition,Taurus Group,,0.0
Bogopa Service Corp/ Food Bazaar Supermarket,TAG Heuer USA,,0.0
BRANDNAME,SYNLawn,,0.0
Bush Industries,Swire Coca-Cola,Bush Industries,100.0
ButterflyMX,Super-Max,ButterflyMX®,95.65217391304348
Cadre Holdings,Sun Products,Cadre Holdings,100.0
Café Britt,"Sub-Zero, Wolf, and Cove",Cafe Britt,90.0
Colour Pop,STIHL USA,ColourPop,94.73684210526316
"Comercial Dportenis, S.A. de C.V.",Steve Madden,,0.0
Coppel,Sterilite,Coppel,100.0
Dremel Europe,StarKist,Dremel Europe,100.0
"Emerald Carpets, Inc.",Stanley Black & Decker,Emerald Carpets,83.33333333333334
ERG International,Springs Window Fashions,ERG International,100.0
"Feelux Lighting, Inc.",Spectrum Brands,Feelux Lighting,83.33333333333334
Fine Fixtures,Southwire,Fine Fixtures,100.0
Food City Supermarkets,Southern States,,0.0
Freshpet,Southern Glazer's Wine & Spirits,Freshpet,100.0
Furniture Direct,Sonepar Deutschland,Furniture Direct,100.0
GILT,Sonepar,,0.0
