Original Ticker,Annual Revenue Growth (%)
NYSE:YETI,3.9800729929752725
NYSE: XRX,-3.109610243421978
NYSE: WWW,-16.459326579261024
NYSE: WEBR,
NASDAQ: VOXX,-12.191253412831873
NYSE: VZIO,-9.813184453510845
NYSE: VSTO,-10.836523197719856
NYSE: VFC,-9.970380991132382
NYSE: UTZ,2.1184307594215
NASDAQ: UEIC,-22.53224775265269
NYSE: UNF,11.606479736828163
NASDAQ: UBNT,
NYSE: TSN,-0.7525993769002666
NYSE: TUP,-18.530551043358738
NYSE: THS,4.079342452458221
HKEX: 698,
STO: THULE,
NYSE: TTC,0.8527698407424635
NASDAQ: SMPL,6.331427476173933
NYSE: KFT,
NYSE: HSY,7.156895659149266
NYSE: EL,-1.8981772470144562
NYSE: TCS,-19.04774181720264
NYSE: TPX,0.08534503779565959
NASDAQ: SHOO,-6.6176439402471905
NYSE: SWK,-6.881881586556051
NYSE: SPB,-6.822027134876296
NASDAQ: SNPO,
NASDAQ: SWBI,11.808439160173775
NASDAQ: SNBR,-10.727679223874413
NASDAQ: SENEB,-3.362303823097594
NASDAQ: SAFM,
NASDAQ: ROKU,11.453097903301227
NYSE: REV,
NASDAQ: PRPL,-10.931592931624333
NYSE: PRMW,4.642097802976612
NASDAQ: PRMW,4.642097802976612
NYSE: PBH,-0.20998027001263606
NASDAQ: POOL,-10.32621667591465
NYSE: PHG,1.9184383238907274
NYSE: PM,10.742396574523015
NASDAQ: PEP,5.879016575608852
NYSE: NOK,-10.649913692746177
NYSE: NKE,0.28310912392369725
NYSE: NWL,-14.018395179194417
NASDAQ: NTGR,-20.550965605401554
NASDAQ: FIZZ,1.599581220394703
NYSE: MSI,9.50395083406497
NASDAQ: MNST,13.135326134319964
NASDAQ: MDLZ,14.351028702057404
NYSE: TAP,9.355200448556209
NASDAQ: MLKN,-11.22311663526706
NASDAQ: MSFT,15.66996201307128
NYSE: MKC,4.908274938981182
TYO: 6586,-3.0483770148371523
NASDAQ: LOGI,-5.295453574036236
KRX: 108670,
NYSE: LEVI,0.16859579158966378
NASDAQ: LESL,-7.100030727472921
NASDAQ: LANC,2.701304287947449
NYSE: LW,20.876163420924758
NYSE: LZB,-12.871446004206122
NYSE: KTB,-0.9109827151936352
NYSE: KODK,-7.302904564315353
NYSE: KDP,5.385217329444405
NYSE: K,3.7066308385363156
NASDAQ: JJSF,12.904952428410843
NYSE: SJM,-4.109412371617503
NASDAQ: IRBT,-24.742876989106655
NASDAQ: TILE,-2.8061073148632545
NYSE: INGR,2.693178957966272
NYSE: IHS,8.374041897742261
HSQVY,-1.4360796506033013
NYSE: HUBB,8.589502617271974
NYSE: HPQ,-14.611349546971864
LON: HWDN,
NASDAQ: TWNK,
NYSE: HRL,-2.7995941184090998
NYSE: HNI,3.0569904310271827
NASDAQ: MLHR,
NYSE: HVT,-17.673734619920456
NASDAQ: HAS,-14.57134563832875
KRX: 105630,
SSE: 2444,
NYSE: HBB,-2.390829847616581
EPA: SK,
NASDAQ: GPRO,-8.054750576338702
NYSE: GIS,-1.1794448149217187
NASDAQ: FNKO,-17.13305904713519
NASDAQ: FOSL,-16.051399188915617
NYSE: FLO,5.930473496521511
NYSE: FIT,
TYO: 6724,-1.2277395625599945
NASDAQ: ENTG,7.370218398169672
BIT: EM,-6.505613952252102
BIT: ELC,-13.739258513892382
STO: ELUX-B,
NYSE: ELAN,0.13602357742008614
FRA: EIN3,-5.906935976717046
NYSE: EPC,3.6791453699866463
NYSE: ECL,7.981505236893669
STO: DOM.ST,-6.682569547103884
NYSE: DELL,-13.563894781087185
NYSE: DECK,18.208572469885198
BIT: DLG,-2.6257578292121617
BIT: DAL,-18.02768578376859
NASDAQ: CROX,11.458895044564182
NYSE: COTY,10.152860049332926
NASDAQ: CRSR,6.16516059219052
NYSE: CAG,-1.8416551274741386
NASDAQ: COLM,0.6654153743831102
NYSE: CL,8.292981577336228
NASDAQ: COKE,7.303727473033598
NYSE: KO,6.394753976374291
NASDAQ: CTAS,8.85737818220963
NYSE: CHD,9.15804747377037
TYO: 6952,1.8940154871868735
NYSE: CPB,9.285213735108618
FRA: CLY,7.2352779237680505
NASDAQ: CVGW,-18.39727707705573
NYSE: BG,-11.440980485483102
NYSE: BF-B,-1.1825922421948913
NYSE: SAM,-3.9088968557177943
NYSE: BRBR,21.531170251549398
NYSE: BGS,-4.654969949144706
